x_center,y_center
-111.87500000000,34.50000000000
-111.83300000000,34.50000000000
-111.79200000000,34.50000000000
-111.75000000000,34.50000000000
-111.91700000000,34.54170000000
-111.87500000000,34.54170000000
-111.83300000000,34.54170000000
-111.79200000000,34.54170000000
-111.75000000000,34.54170000000
-112.00000000000,34.58340000000
-111.95800000000,34.58340000000
-111.91700000000,34.58340000000
-111.87500000000,34.58340000000
-111.83300000000,34.58340000000
-112.00000000000,34.62500000000
-111.95800000000,34.62500000000
-111.91700000000,34.62500000000
-111.87500000000,34.62500000000
-111.83300000000,34.62500000000
-111.79200000000,34.62500000000
-111.75000000000,34.62500000000
-112.04200000000,34.66670000000
-112.00000000000,34.66670000000
-111.95800000000,34.66670000000
-111.91700000000,34.66670000000
-111.87500000000,34.66670000000
-111.83300000000,34.66670000000
-111.79200000000,34.66670000000
-111.75000000000,34.66670000000
-112.04200000000,34.70840000000
-112.00000000000,34.70840000000
-111.95800000000,34.70840000000
-111.91700000000,34.70840000000
-111.87500000000,34.70840000000
-111.83300000000,34.70840000000
-111.79200000000,34.70840000000
-112.12500000000,34.75000000000
-112.08300000000,34.75000000000
-112.04200000000,34.75000000000
-112.00000000000,34.75000000000
-111.95800000000,34.75000000000
-111.91700000000,34.75000000000
-111.87500000000,34.75000000000
-112.12500000000,34.79170000000
-112.08300000000,34.79170000000
-112.04200000000,34.79170000000
-112.00000000000,34.79170000000
-111.95800000000,34.79170000000
-111.91700000000,34.79170000000
-111.87500000000,34.79170000000
-112.08300000000,34.83340000000
-112.04200000000,34.83340000000
-112.00000000000,34.83340000000
-111.91700000000,34.83340000000
-111.87500000000,34.83340000000
-112.04200000000,34.87500000000
